"745 [ 39, 4 ] ac 5h"	20478	40.96%
"222 [ 21, 12 ] 9d kh"	20474	40.95%
"724 [ 38, 21 ] ks 9d"	20473	40.95%
"735 [ 38, 32 ] ks 7s"	20458	40.92%
"509 [ 32, 13 ] 7s ad"	20439	40.88%
"1106 [ 47, 25 ] 9c kd"	20420	40.84%
"435 [ 30, 0 ] 5s ah"	20417	40.83%
"1185 [ 49, 9 ] jc th"	20414	40.83%
"452 [ 30, 17 ] 5s 5d"	20409	40.82%
"1151 [ 48, 23 ] tc jd"	20409	40.82%
"241 [ 22, 10 ] td jh"	20401	40.80%
"1211 [ 49, 35 ] jc ts"	20396	40.79%
"605 [ 35, 10 ] ts jh"	20384	40.77%
"104 [ 14, 13 ] 2d ad"	20376	40.75%
"439 [ 30, 4 ] 5s 5h"	20362	40.72%
"140 [ 17, 4 ] 5d 5h"	20360	40.72%
"82 [ 13, 4 ] ad 5h"	20356	40.71%
"1175 [ 48, 47 ] tc 9c"	20341	40.68%
"44 [ 9, 8 ] th 9h"	20330	40.66%
"618 [ 35, 23 ] ts jd"	20318	40.64%
"1119 [ 47, 38 ] 9c ks"	20299	40.60%
"639 [ 36, 9 ] js th"	20296	40.59%
"920 [ 43, 17 ] 5c 5d"	20296	40.59%
"262 [ 23, 9 ] jd th"	20287	40.57%
"903 [ 43, 0 ] 5c ah"	20280	40.56%
"1164 [ 48, 36 ] tc js"	20267	40.53%
"933 [ 43, 30 ] 5c 5s"	20264	40.53%
"136 [ 17, 0 ] 5d ah"	20240	40.48%
"1198 [ 49, 22 ] jc td"	20237	40.47%
"916 [ 43, 13 ] 5c ad"	20227	40.45%
"699 [ 37, 33 ] qs 8s"	20226	40.45%
"343 [ 26, 18 ] as 6d"	20224	40.45%
"652 [ 36, 22 ] js td"	20220	40.44%
"929 [ 43, 26 ] 5c as"	20213	40.43%
"629 [ 35, 34 ] ts 9s"	20209	40.42%
"758 [ 39, 17 ] ac 5d"	20204	40.41%
"1138 [ 48, 10 ] tc jh"	20203	40.41%
"448 [ 30, 13 ] 5s ad"	20194	40.39%
"746 [ 39, 5 ] ac 6h"	20194	40.39%
"759 [ 39, 18 ] ac 6d"	20180	40.36%
"252 [ 22, 21 ] td 9d"	20163	40.33%
"1319 [ 51, 44 ] kc 6c"	20152	40.30%
"586 [ 34, 25 ] 9s kd"	20148	40.30%
"771 [ 39, 30 ] ac 5s"	20147	40.29%
"296 [ 24, 20 ] qd 8d"	20146	40.29%
"772 [ 39, 31 ] ac 6s"	20142	40.28%
"946 [ 44, 0 ] 6c ah"	20134	40.27%
"71 [ 12, 5 ] kh 6h"	20133	40.27%
"329 [ 26, 4 ] as 5h"	20116	40.23%
"342 [ 26, 17 ] as 5d"	20113	40.23%
"465 [ 31, 0 ] 6s ah"	20105	40.21%
"62 [ 11, 7 ] qh 8h"	20097	40.19%
"734 [ 38, 31 ] ks 6s"	20096	40.19%
"959 [ 44, 13 ] 6c ad"	20089	40.18%
"318 [ 25, 18 ] kd 6d"	20078	40.16%
"1271 [ 50, 46 ] qc 8c"	20067	40.13%
"330 [ 26, 5 ] as 6h"	20065	40.13%
"83 [ 13, 5 ] ad 6h"	20051	40.10%
"153 [ 18, 0 ] 6d ah"	20040	40.08%
"284 [ 24, 8 ] qd 9h"	19998	40.00%
"972 [ 44, 26 ] 6c as"	19955	39.91%
"478 [ 31, 13 ] 6s ad"	19940	39.88%
"770 [ 39, 29 ] ac 4s"	19918	39.84%
"874 [ 42, 13 ] 4c ad"	19910	39.82%
"674 [ 37, 8 ] qs 9h"	19869	39.74%
"120 [ 16, 0 ] 4d ah"	19867	39.73%
"1105 [ 47, 24 ] 9c qd"	19857	39.71%
"328 [ 26, 3 ] as 4h"	19838	39.68%
"861 [ 42, 0 ] 4c ah"	19819	39.64%
"887 [ 42, 26 ] 4c as"	19816	39.63%
"1118 [ 47, 37 ] 9c qs"	19808	39.62%
"663 [ 36, 33 ] js 8s"	19802	39.60%
"52 [ 10, 7 ] jh 8h"	19783	39.57%
"406 [ 29, 0 ] 4s ah"	19760	39.52%
"317 [ 25, 17 ] kd 5d"	19758	39.52%
"1318 [ 51, 43 ] kc 5c"	19741	39.48%
"1246 [ 50, 21 ] qc 9d"	19722	39.44%
"419 [ 29, 13 ] 4s ad"	19706	39.41%
"744 [ 39, 3 ] ac 4h"	19703	39.41%
"1092 [ 47, 11 ] 9c qh"	19700	39.40%
"1222 [ 49, 46 ] jc 8c"	19695	39.39%
"585 [ 34, 24 ] 9s qd"	19692	39.38%
"81 [ 13, 3 ] ad 4h"	19657	39.31%
"221 [ 21, 11 ] 9d qh"	19649	39.30%
"572 [ 34, 11 ] 9s qh"	19618	39.24%
"733 [ 38, 30 ] ks 5s"	19614	39.23%
"341 [ 26, 16 ] as 4d"	19601	39.20%
"1259 [ 50, 34 ] qc 9s"	19593	39.19%
"687 [ 37, 21 ] qs 9d"	19576	39.15%
"757 [ 39, 16 ] ac 4d"	19550	39.10%
"1282 [ 51, 7 ] kc 8h"	19545	39.09%
"70 [ 12, 4 ] kh 5h"	19531	39.06%
"273 [ 23, 20 ] jd 8d"	19520	39.04%
"710 [ 38, 7 ] ks 8h"	19518	39.04%
"553 [ 33, 25 ] 8s kd"	19514	39.03%
"307 [ 25, 7 ] kd 8h"	19507	39.01%
"723 [ 38, 20 ] ks 8d"	19496	38.99%
"1233 [ 50, 8 ] qc 9h"	19481	38.96%
"340 [ 26, 15 ] as 3d"	19415	38.83%
"378 [ 28, 0 ] 3s ah"	19402	38.80%
"105 [ 15, 0 ] 3d ah"	19386	38.77%
"1073 [ 46, 38 ] 8c ks"	19382	38.76%
"1174 [ 48, 46 ] tc 8c"	19376	38.75%
"1295 [ 51, 20 ] kc 8d"	19374	38.75%
